PULocationID,trips,revenue,avg_fare,med_min,med_dist,rev_per_trip,share_pct,Borough,Zone
132,57544,5072554.6,66.92333901014875,56.28333333333333,17.29,88.15,17.06,Queens,JFK Airport
138,32951,2359546.75,45.72072531941368,32.766666666666666,9.36,71.61,7.93,Queens,LaGuardia Airport
161,58868,1547098.31,16.07589726167018,13.7,1.47,26.28,5.2,Manhattan,Midtown Center
237,53934,1166529.74,12.712962880557718,9.383333333333333,1.21,21.63,3.92,Manhattan,Upper East Side South
162,39339,1014858.8,15.603786573120821,12.95,1.5,25.8,3.41,Manhattan,Midtown East
236,43872,966928.85,13.230572346827135,9.4,1.36,22.04,3.25,Manhattan,Upper East Side North
230,32857,951961.0599999999,18.39908573515537,13.95,1.46,28.97,3.2,Manhattan,Times Sq/Theatre District
186,32516,892739.12,17.434131504490097,15.45,1.55,27.46,3.0,Manhattan,Penn Station/Madison Sq West
170,31395,814738.68,15.874333174072305,13.05,1.5,25.95,2.74,Manhattan,Murray Hill
163,31417,803698.45,15.59038195881211,12.3,1.4,25.58,2.7,Manhattan,Midtown North
68,28211,771681.49,17.144173549324734,14.6,1.67,27.35,2.59,Manhattan,East Chelsea
234,29738,717918.59,14.35122032416437,11.5,1.38,24.14,2.41,Manhattan,Union Sq
142,29438,666237.26,13.588539982335757,10.05,1.44,22.63,2.24,Manhattan,Lincoln Square East
246,22178,580679.8,16.32937325277302,13.933333333333334,1.72,26.18,1.95,Manhattan,West Chelsea/Hudson Yards
239,25582,563836.05,13.249342897349699,9.35,1.49,22.04,1.9,Manhattan,Upper West Side South
164,21657,563191.83,15.816551230549013,12.35,1.4,26.01,1.89,Manhattan,Midtown South
48,20214,510213.51,15.571423765706935,11.216666666666667,1.4,25.24,1.72,Manhattan,Clinton East
141,22090,474681.81,12.750473064735175,8.95,1.24,21.49,1.6,Manhattan,Lenox Hill West
140,19651,468618.79,14.813403898020457,10.933333333333334,1.59,23.85,1.58,Manhattan,Lenox Hill East
43,18324,445455.38,15.253491049989083,12.116666666666667,1.63,24.31,1.5,Manhattan,Central Park
107,17007,411530.73,14.574058916916563,11.316666666666666,1.41,24.2,1.38,Manhattan,Gramercy
231,13657,396755.3,18.739830123746064,14.35,2.08,29.05,1.33,Manhattan,TriBeCa/Civic Center
100,14285,384303.5,16.86937276863843,13.483333333333333,1.4,26.9,1.29,Manhattan,Garment District
229,15726,373104.01,14.148885285514435,11.116666666666667,1.4,23.73,1.25,Manhattan,Sutton Place/Turtle Bay North
