pickup_hour,trips,revenue,avg_fare,med_min,med_dist,rev_per_trip,rev_per_min,share_pct
0,82363,2715545.08,22.28,12.0,2.33,32.97,2.75,3.11
1,53446,1627769.71,20.56,11.0,2.18,30.46,2.77,1.87
2,34305,924576.03,17.78,10.3,2.06,26.95,2.62,1.06
3,21431,581950.69,17.97,9.9,2.12,27.15,2.74,0.67
4,14158,488080.97,23.93,11.2,2.73,34.47,3.08,0.56
5,16619,647286.25,27.9,11.2,3.0,38.95,3.48,0.74
6,36508,1160234.56,22.62,9.6,2.1,31.78,3.31,1.33
7,70972,2036945.73,19.81,10.4,1.85,28.7,2.76,2.33
8,99373,2724373.87,18.73,11.8,1.68,27.42,2.32,3.12
9,119391,3287166.71,18.73,12.5,1.6,27.53,2.2,3.77
10,135782,3801936.44,19.12,13.2,1.6,28.0,2.12,4.36
11,145981,4160102.29,19.57,13.7,1.6,28.5,2.08,4.77
12,159872,4653168.27,20.05,13.8,1.59,29.11,2.11,5.33
13,167747,4944921.68,20.32,13.9,1.6,29.48,2.12,5.67
14,177846,5809122.9,23.19,14.1,1.67,32.66,2.32,6.66
15,182897,5625960.12,21.34,14.0,1.67,30.76,2.2,6.45
16,188772,6189254.3,21.36,14.0,1.69,32.79,2.34,7.09
17,201434,6334213.76,20.19,13.6,1.65,31.45,2.31,7.26
18,209134,6165150.75,18.52,12.5,1.6,29.48,2.36,7.07
19,183618,5422949.6,18.5,11.9,1.69,29.53,2.48,6.22
20,165191,4814334.93,18.97,11.8,1.84,29.14,2.47,5.52
21,169858,4986549.24,19.14,12.1,1.96,29.36,2.43,5.72
22,150266,4550167.05,19.96,12.3,2.09,30.28,2.46,5.22
23,111104,3590618.07,21.64,12.3,2.26,32.32,2.63,4.12
