SiteId,Site_Name,Site_Brand,Site_Suburb,Fuel_Type,minutes_lowest,minutes_total,lowest_price_share_pct,avg_cpl
61291313,Lowes Mungindi Opt,BP,Mungindi,Diesel,250594.0,250593.999999985,100.0,190.6
61291313,Lowes Mungindi Opt,BP,Mungindi,Unleaded,233274.0,233273.999999687,100.0,188.2
61401007,7-Eleven Coomera,7 Eleven,Coomera,LPG,260755.0,260754.999999851,100.0,111.9
61401007,7-Eleven Coomera,7 Eleven,Coomera,PULP 98 RON,3093.0,304978.999999836,1.01,212.2
61401007,7-Eleven Coomera,7 Eleven,Coomera,Premium Diesel,7408.0,303234.999999851,2.44,192.2
61401007,7-Eleven Coomera,7 Eleven,Coomera,Unleaded,37138.0,304978.999999836,12.18,189.2
61401007,7-Eleven Coomera,7 Eleven,Coomera,e10,7408.0,304978.999999836,2.43,187.2
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,PULP 95/96 RON,34330.0,304969.999999702,11.26,205.9
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,PULP 98 RON,121293.0,304969.999999702,39.77,213.2
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,Premium Diesel,41005.0,300120.999999717,13.66,199.5
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,Unleaded,133251.0,304969.999999702,43.69,190.2
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,e10,110420.0,304969.999999702,36.21,188.2
61401010,Coles Express Nerang,Coles Express,Nerang,PULP 95/96 RON,24186.0,304915.000000298,7.93,207.9
61401010,Coles Express Nerang,Coles Express,Nerang,PULP 98 RON,28203.0,304959.000000358,9.25,213.9
61401010,Coles Express Nerang,Coles Express,Nerang,Unleaded,7424.0,304959.000000358,2.43,190.9
61401011,Ampol Foodary Nerang South,Ampol,South Nerang,LPG,193589.0,193589.00000006,100.0,131.5
61401011,Ampol Foodary Nerang South,Ampol,South Nerang,PULP 95/96 RON,304914.0,304914.000000358,100.0,207.2
61401011,Ampol Foodary Nerang South,Ampol,South Nerang,PULP 98 RON,304914.0,304914.000000358,100.0,215.2
61401011,Ampol Foodary Nerang South,Ampol,South Nerang,Premium Diesel,261364.0,261363.999999762,100.0,195.5
61401011,Ampol Foodary Nerang South,Ampol,South Nerang,Unleaded,304914.0,304914.000000358,100.0,191.2
61401011,Ampol Foodary Nerang South,Ampol,South Nerang,e10,304914.0,304914.000000358,100.0,189.2
61401013,Caltex Broadbeach Waters,Caltex,Broadbeach Waters,PULP 98 RON,285201.0,285200.999999866,100.0,212.8
61401013,Caltex Broadbeach Waters,Caltex,Broadbeach Waters,Premium Diesel,277966.0,277965.99999994,100.0,201.8
61401013,Caltex Broadbeach Waters,Caltex,Broadbeach Waters,Unleaded,285201.0,285200.999999866,100.0,188.3
61401013,Caltex Broadbeach Waters,Caltex,Broadbeach Waters,e10,285201.0,285200.999999866,100.0,186.3
61401014,7-Eleven Broadbeach,7 Eleven,Broadbeach,LPG,257662.0,257661.999999806,100.0,123.5
61401014,7-Eleven Broadbeach,7 Eleven,Broadbeach,PULP 98 RON,272009.0,294232.99999997,92.45,208.3
61401014,7-Eleven Broadbeach,7 Eleven,Broadbeach,Premium Diesel,304506.0,304970.000000373,99.85,198.2
61401014,7-Eleven Broadbeach,7 Eleven,Broadbeach,Unleaded,251250.0,294232.99999997,85.39,185.3
61401014,7-Eleven Broadbeach,7 Eleven,Broadbeach,e10,251250.0,294232.99999997,85.39,182.4
61401015,Ampol Foodary Mudgeeraba,Ampol,Mudgeeraba,PULP 95/96 RON,305046.0,305045.999999866,100.0,207.1
61401015,Ampol Foodary Mudgeeraba,Ampol,Mudgeeraba,PULP 98 RON,7544.0,305045.999999866,2.47,215.1
61401015,Ampol Foodary Mudgeeraba,Ampol,Mudgeeraba,Premium Diesel,293035.0,293035.000000298,100.0,198.5
61401015,Ampol Foodary Mudgeeraba,Ampol,Mudgeeraba,Unleaded,50434.0,305045.999999866,16.53,191.1
61401015,Ampol Foodary Mudgeeraba,Ampol,Mudgeeraba,e10,50434.0,305045.999999866,16.53,189.1
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,Diesel,301875.0,301874.999999776,100.0,194.3
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,PULP 95/96 RON,145120.0,302963.999999911,47.9,198.3
