SiteId,Site_Name,Site_Brand,Site_Suburb,Fuel_Type,change_events,avg_lag_minutes,median_lag_minutes
61401007,7-Eleven Coomera,7 Eleven,Coomera,PULP 98 RON,68,179.2,25.0
61401007,7-Eleven Coomera,7 Eleven,Coomera,Premium Diesel,22,150.5,81.0
61401007,7-Eleven Coomera,7 Eleven,Coomera,Unleaded,68,177.1,25.0
61401007,7-Eleven Coomera,7 Eleven,Coomera,e10,68,146.2,25.0
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,PULP 95/96 RON,71,856.6,165.0
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,PULP 98 RON,68,294.7,71.5
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,Premium Diesel,43,1293.9,251.0
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,Unleaded,68,341.2,71.5
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,e10,68,335.6,64.5
61401010,Coles Express Nerang,Coles Express,Nerang,Diesel,15,5143.6,2559.0
61401010,Coles Express Nerang,Coles Express,Nerang,PULP 95/96 RON,62,1745.5,193.5
61401010,Coles Express Nerang,Coles Express,Nerang,PULP 98 RON,62,1226.8,76.5
61401010,Coles Express Nerang,Coles Express,Nerang,Unleaded,62,1814.8,966.0
61401014,7-Eleven Broadbeach,7 Eleven,Broadbeach,PULP 98 RON,61,4394.6,1870.0
61401014,7-Eleven Broadbeach,7 Eleven,Broadbeach,Premium Diesel,47,2701.7,1077.0
61401014,7-Eleven Broadbeach,7 Eleven,Broadbeach,Unleaded,61,4322.9,1870.0
61401014,7-Eleven Broadbeach,7 Eleven,Broadbeach,e10,65,4797.6,2050.0
61401015,Ampol Foodary Mudgeeraba,Ampol,Mudgeeraba,PULP 98 RON,83,2631.7,732.0
61401015,Ampol Foodary Mudgeeraba,Ampol,Mudgeeraba,Unleaded,80,2720.5,792.0
61401015,Ampol Foodary Mudgeeraba,Ampol,Mudgeeraba,e10,80,2720.3,792.0
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,PULP 95/96 RON,117,4606.0,2810.0
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,PULP 98 RON,112,4350.0,2645.0
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,Premium Diesel,115,6828.5,4405.0
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,Unleaded,118,5151.8,3543.5
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,e10,110,4842.5,3543.5
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,PULP 95/96 RON,5,2353.2,2544.0
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,PULP 98 RON,46,3060.7,1288.5
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,Unleaded,50,2973.4,1384.0
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,e10,50,2973.6,1354.5
