SiteId,Site_Name,Site_Brand,Site_Suburb,Lat,Lon
61291313,Lowes Mungindi Opt,BP,Mungindi,-28.973467,148.983829
61401007,7-Eleven Coomera,7 Eleven,Coomera,-27.868591,153.314206
61401008,EG Ampol Oxenford,EG Ampol,Oxenford,-27.891217,153.313369
61401010,Coles Express Nerang,Coles Express,Nerang,-27.990022,153.337183
61401011,Ampol Foodary Nerang South,Ampol,South Nerang,-28.007074,153.341476
61401013,Caltex Broadbeach Waters,Caltex,Broadbeach Waters,-28.026556,153.420502
61401014,7-Eleven Broadbeach,7 Eleven,Broadbeach,-28.035598,153.425197
61401015,Ampol Foodary Mudgeeraba,Ampol,Mudgeeraba,-28.074595,153.364051
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,-28.105063,153.406318
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,-28.099588,153.419209
61401020,Ampol Foodary Coomera,Ampol,Coomera,-27.874552,153.312607
61401023,EG Ampol Runaway Bay,EG Ampol,Runaway Bay,-27.912733,153.401728
61401024,7-Eleven Runaway Bay,7 Eleven,Anglers Paradise,-27.923554,153.403729
61401025,Ampol Foodary Labrador North,Ampol,Labrador North,-27.934921,153.391093
61401029,Caltex Southport,Caltex,Southport,-27.956875,153.409288
61401030,Metro Nerang,Metro Fuel,Nerang,-27.997105,153.340534
61401031,Liberty Helensvale North,Liberty,Helensvale,-27.922077,153.337043
61401033,Coles Express Yatala,Coles Express,Yatala North,-27.729037,153.224248
61401035,BP Johnston Street,BP,Southport,-27.965182,153.403819
61401038,Southport Metro,Metro Fuel,Southport,-27.974149,153.402703
61401039,Shell Reddy Express Southport,Reddy Express,Southport,-27.974786,153.411155
61401039,Coles Express Southport,Coles Express,Southport,-27.974923,153.410962
61401044,BP Ashmore Village,BP,Ashmore,-27.986935,153.382198
61401046,Shell Reddy Express Benowa,Reddy Express,Benowa,-28.010252,153.392642
61401046,Coles Express Benowa,Coles Express,Benowa,-28.010329,153.392638
61401047,BP Benowa,BP,Benowa,-28.008889,153.398266
61401051,7-Eleven Surfers Paradise,7 Eleven,Surfers Paradise,-27.995512,153.427447
61401053,Coles Express Surfers Paradise,Coles Express,Surfers Paradise,-28.017376,153.428851
61401054,Ampol Foodary Broadbeach,Ampol,Broadbeach,-28.025296,153.429391
61401057,Coles Express Miami,Coles Express,Miami,-28.063906,153.437638
61401057,Shell Reddy Express Miami,Reddy Express,Miami,-28.063906,153.437638
61401061,Pearl Energy Southport,Pearl Energy,Ashmore,-27.976259,153.381097
61401062,7-Eleven Ashmore,7 Eleven,Ashmore,-27.978835,153.379636
61401064,7-Eleven Palm Beach,7 Eleven,Palm Beach,-28.118293,153.470626
61401067,BP Tugun,BP,Tugun,-28.142809,153.493285
61401068,Coles Express Tugun,Coles Express,Tugun,-28.143715,153.493459
61401080,Caltex Tugun,Caltex,Tugun,-28.141513,153.491401
61401083,Caltex Miami,Caltex,Miami,-28.065949,153.439777
61401090,Brians Auto Centre Miami,Independent,Miami,-28.068655,153.441223
61401092,BP Connect Oxenford,BP,Oxenford,-27.897019,153.313735
61401094,BP Connect Labrador,BP,Labrador,-27.945979,153.408193
61401106,BP Newstead,BP,Fortitude Valley,-27.452674,153.041797
61401110,BP Connect Blacksoil,BP,Blacksoil,-27.579076,152.712895
61401117,Liberty Highgate Hill,Liberty,Highgate Hill,-27.484021,153.020149
61401118,7-Eleven East Brisbane,7 Eleven,East Brisbane,-27.484873,153.039928
61401118,7-Eleven East Brisbane,7 Eleven,East Brisbane,-27.48489,153.039888
61401119,BP East Brisbane,BP,East Brisbane,-27.479356,153.043756
61401124,Ampol Foodary Woolloongabba,Ampol,Woolloongabba,-27.490813,153.040273
61401126,BP Milton,BP,Milton,-27.467608,153.007624
61401128,Coles Express Balmoral,Coles Express,Bulimba,-27.452107,153.061984
61401131,Shell Hawthorne,Shell,Hawthorne,-27.472326,153.059433
61401132,BP Stanley Street East,BP,East Brisbane,-27.488536,153.047515
61401134,Ampol Foodary Camp Hill,Ampol,Camp Hill,-27.491818,153.064933
61401136,Caltex Norman Park,Caltex,Norman Park,-27.483739,153.063778
61401137,Freedom Fuels Seven Hills,Freedom Fuels,Seven Hills,-27.479218,153.071074
61401138,Shell Reddy Express Camp Hill,Reddy Express,Camp Hill,-27.492841,153.082504
61401138,Coles Express Camp Hill,Coles Express,Camp Hill,-27.492841,153.082504
61401140,Caltex Morningside,Caltex,Morningside,-27.466425,153.078375
61401140,Puma Morningside,Puma Energy,Morningside,-27.466443,153.078375
61401142,Ampol Foodary Colmslie,Ampol,Colmslie,-27.466603,153.079078
61401147,BP Cannon Hill,BP,Cannon Hill,-27.469726,153.095734
61401148,Coles Express Cannon Hill,Coles Express,Cannon Hill,-27.471499,153.095659
61401149,Shell Reddy Express Tingalpa,Reddy Express,Tingalpa,-27.474727,153.121105
61401150,BP Tingalpa,BP,Tingalpa,-27.474496,153.130045
61401153,BP Express Carindale,BP,Carindale,-27.495349,153.101632
61401155,Ampol Foodary Carindale,Ampol,Carindale,-27.505705,153.099826
61401156,Freedom Fuels Thorneside,Freedom Fuels,Thorneside,-27.488737,153.194962
61401157,EG Ampol Birkdale,EG Ampol,Birkdale,-27.494911,153.212962
61401159,BP Wellington Point,BP,Wellington Point,-27.486922,153.238363
61401160,BP Cleveland,BP,Cleveland,-27.524107,153.258559
61401166,BP Connect Plaza,BP,Kenmore,-27.508087,152.946646
61401167,Ampol Foodary Kenmore,Ampol,Kenmore,-27.507892,152.948335
61401170,Coles Express Chapel Hill,Coles Express,Chapel Hill,-27.50495,152.960608
